Link,Title
https://finance.yahoo.com/m/1379c741-91c4-327c-b8a6-a1cbae094843/why-supply-disruptions-may.html,Why Supply Disruptions May Impact Apple's Next Quarter
https://finance.yahoo.com/news/pinterest-pins-stock-outpacing-computer-153003876.html,Is Pinterest (PINS) Stock Outpacing Its Computer and Technology Peers This Year?
https://finance.yahoo.com/m/838fe504-00cc-39c9-9963-2277e1862862/will-pinterest-stock-continue.html,Will Pinterest Stock Continue Surging After Its Earnings Beat?
https://finance.yahoo.com/m/e28f6a57-f131-337d-ac71-41f0d7e40692/want-10-000-just-invest.html,Want $10 000? Just Invest $1 000 in These Great Stocks and Wait
https://finance.yahoo.com/m/35a52cee-3d24-376a-802a-b9014cd672d5/why-pinterest-stock-soared.html,Why Pinterest Stock Soared 55% in July
https://finance.yahoo.com/video/why-investors-consider-buying-pinterest-173152246.html,Why investors should consider buying Pinterest stock
https://finance.yahoo.com/m/e2bdbaeb-8e3d-35bc-b713-74fa871496dc/here-s-my-single-best.html,Here's My Single Best Investment Idea for August
https://finance.yahoo.com/m/9bfaafc4-bcbe-3e52-b3f2-1c1ff159f00f/why-pinterest-stock-rose-today.html,Why Pinterest Stock Rose Today
https://finance.yahoo.com/video/pinterest-extends-rally-ad-user-204931062.html,Pinterest extends rally on ad  user optimism
https://finance.yahoo.com/news/4-takeaways-pinterests-q2-print-191633764.html,4 Takeaways On Pinterest's Q2 Print
