Link,Title
https://finance.yahoo.com/news/sunrun-run-gains-lags-market-215009644.html,Sunrun (RUN) Gains But Lags Market: What You Should Know
https://finance.yahoo.com/m/33bcd445-2e6d-3c1c-8378-7f479159a1f5/the-covid-19-pandemic-can%E2%80%99t.html,The Covid-19 Pandemic Can’t Stop the Solar Boom
https://finance.yahoo.com/news/sunrun-run-earnings-expected-grow-163104869.html,Sunrun (RUN) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
https://finance.yahoo.com/m/1d3875f9-4752-3fff-8ec7-8ad5b184643c/why-vivint-solar-s-shares.html,Why Vivint Solar's Shares Dropped 10.9% on Wednesday
https://finance.yahoo.com/m/8e98f86f-7498-3d26-bd43-fa999e492661/why-iaa-and-carpenter.html,Why IAA and Carpenter Technology Stocks Just Popped 10%  but Sunrun Dropped
https://finance.yahoo.com/m/da82a846-2369-37a9-80e3-383ecac8934a/1-thing-investors-should.html,1 Thing Investors Should Watch as SunRun Buys Vivint Solar
https://finance.yahoo.com/m/9c3b36ec-180d-3798-8945-481d5ff26834/how-sunrun-can-become-a-giant.html,How Sunrun Can Become a Giant in Renewable Energy
https://finance.yahoo.com/m/f6880ce5-7cf9-3c7f-96d2-249c463cf1c1/sunrun-s-stock-rises-toward.html,SunRun's stock rises toward 8th-straight record after J.P. Morgan boosts price target to Street high
https://finance.yahoo.com/news/massif-capital-2020-q2-investor-140809039.html,Massif Capital 2020 Q2 Investor Letter: We Have No Idea
https://finance.yahoo.com/news/were-hedge-funds-piling-sunrun-161914418.html,Were Hedge Funds Right About Piling Into Sunrun Inc (RUN)?
